Observation unit ID	Date	TubN_total_per_plant	TubW_total_per_plant	TubN_average_per_genotype	TubW_average_per_genotype
WUR:CE-NL99-WUR:CE011-1	1999-11-14	61	561.56		
WUR:CE-NL99-WUR:CE011-2	1999-11-14	46	1212.63		
WUR:CE-NL99-WUR:CE016-1	1999-11-14	49	2637.74		
WUR:CE-NL99-WUR:CE016-2	1999-11-14	21	608.92		
WUR:CE-NL99-WUR:CE017-1	1999-11-14	25	395.9		
WUR:CE-NL99-WUR:CE017-2	1999-11-14	11	320.23		
WUR:CE-NL99-WUR:CE018-1	1999-11-14	22	179.86		
WUR:CE-NL99-WUR:CE018-2	1999-11-14	24	313.01		
WUR:CE-NL99-WUR:CE024-1	1999-11-14	72	1151.78		
WUR:CE-NL99-WUR:CE024-2	1999-11-14	57	856.11		
WUR:CE-NL99-WUR:CE027-1	1999-11-14	59	1513.41		
WUR:CE-NL99-WUR:CE027-2	1999-11-14	46	1008		
WUR:CE-NL99-WUR:CE032-1	1999-11-14	89	1639		
WUR:CE-NL99-WUR:CE032-2	1999-11-14	32	777.9		
WUR:CE-NL99-WUR:CE047-1	1999-11-14	36	1070.4		
WUR:CE-NL99-WUR:CE047-2	1999-11-14	20	344.25		
WUR:CE-NL99-WUR:CE051-1	1999-11-14	47	538.23		
WUR:CE-NL99-WUR:CE051-2	1999-11-14	14	310.12		
WUR:CE-NL99-WUR:CE066-1	1999-11-14	37	515.41		
WUR:CE-NL99-WUR:CE066-2	1999-11-14	51	982.33		
WUR:CE-NL99-WUR:CE067-1	1999-11-14	54	1026.24		
WUR:CE-NL99-WUR:CE067-2	1999-11-14	78	886.31		
WUR:CE-NL99-WUR:CE069-1	1999-11-14	34	521.69		
WUR:CE-NL99-WUR:CE069-2	1999-11-14	13	323.15		
WUR:CE-NL99-WUR:CE070-1	1999-11-14	61	1178.79		
WUR:CE-NL99-WUR:CE070-2	1999-11-14	142	1564.49		
WUR:CE-NL99-WUR:CE072-1	1999-11-14	36	1720.92		
WUR:CE-NL99-WUR:CE072-2	1999-11-14	17	291.4		
WUR:CE-NL99-WUR:CE077-1	1999-11-14	42	252.36		
