Observation unit ID	Date	TubN_average_per_genotype	TubW_average_per_genotype
WUR:CE-VEN03-CE011	2003-11-30	18.5	142.5
WUR:CE-VEN03-CE032	2003-11-30	8	237.5
WUR:CE-VEN03-CE047	2003-11-30	21	230
WUR:CE-VEN03-CE067	2003-11-30	11.5	62.5
WUR:CE-VEN03-CE070	2003-11-30	7	125
WUR:CE-VEN03-CE100	2003-11-30	8	127.5
WUR:CE-VEN03-CE102	2003-11-30	16	176
WUR:CE-VEN03-CE110	2003-11-30	9.5	56
WUR:CE-VEN03-CE155	2003-11-30	27	100
WUR:CE-VEN03-CE159	2003-11-30	22	272.5
WUR:CE-VEN03-CE165	2003-11-30	17	339.5
WUR:CE-VEN03-CE195	2003-11-30	10	50
WUR:CE-VEN03-CE200	2003-11-30	19	72.5
WUR:CE-VEN03-CE202	2003-11-30	9	40.5
WUR:CE-VEN03-CE207	2003-11-30	26	220
WUR:CE-VEN03-CE210	2003-11-30	23	177
WUR:CE-VEN03-CE233	2003-11-30	18	74.5
WUR:CE-VEN03-CE252	2003-11-30	12	27
WUR:CE-VEN03-CE276	2003-11-30	10.5	96
WUR:CE-VEN03-CE298	2003-11-30	17	75
WUR:CE-VEN03-CE601	2003-11-30	11	52
WUR:CE-VEN03-CE602	2003-11-30	14.5	76
WUR:CE-VEN03-CE603	2003-11-30	15	110
WUR:CE-VEN03-CE604	2003-11-30	8.5	85
WUR:CE-VEN03-CE605	2003-11-30	12	174
WUR:CE-VEN03-CE607	2003-11-30	11	115
WUR:CE-VEN03-CE609	2003-11-30	14	120
WUR:CE-VEN03-CE611	2003-11-30	7	98
WUR:CE-VEN03-CE612	2003-11-30	24.5	137.5
WUR:CE-VEN03-CE613	2003-11-30	13	100
WUR:CE-VEN03-CE615	2003-11-30	8	34
WUR:CE-VEN03-CE616	2003-11-30	32	39
WUR:CE-VEN03-CE617	2003-11-30	11	87.5
WUR:CE-VEN03-CE618	2003-11-30	26.5	166
WUR:CE-VEN03-CE622	2003-11-30	11	120
WUR:CE-VEN03-CE625	2003-11-30	10	50
WUR:CE-VEN03-CE626	2003-11-30	13.5	63
WUR:CE-VEN03-CE627	2003-11-30	30.5	260
WUR:CE-VEN03-CE630	2003-11-30	23.5	188.5
WUR:CE-VEN03-CE633	2003-11-30	5	30
WUR:CE-VEN03-CE635	2003-11-30	8.5	124
WUR:CE-VEN03-CE636	2003-11-30	11	125
WUR:CE-VEN03-CE637	2003-11-30	11	270
WUR:CE-VEN03-CE638	2003-11-30	5	8
WUR:CE-VEN03-CE639	2003-11-30	14.5	212.5
WUR:CE-VEN03-CE640	2003-11-30	24	262.5
WUR:CE-VEN03-CE648	2003-11-30	45	120
WUR:CE-VEN03-CE650	2003-11-30	23	133.5
WUR:CE-VEN03-CE651	2003-11-30	9	25
WUR:CE-VEN03-CE654	2003-11-30	10	37.5
WUR:CE-VEN03-CE655	2003-11-30	13.5	84
WUR:CE-VEN03-CE656	2003-11-30	18	178
WUR:CE-VEN03-CE657	2003-11-30	34	114.5
WUR:CE-VEN03-CE658	2003-11-30	16	76
WUR:CE-VEN03-CE659	2003-11-30	15	68
WUR:CE-VEN03-CE664	2003-11-30	27	66.5
WUR:CE-VEN03-CE666	2003-11-30	7.5	34
WUR:CE-VEN03-CE667	2003-11-30	15	187.5
WUR:CE-VEN03-CE668	2003-11-30	12	45
WUR:CE-VEN03-CE669	2003-11-30	7	75
WUR:CE-VEN03-CE670	2003-11-30	31	200
WUR:CE-VEN03-CE677	2003-11-30	24	40
WUR:CE-VEN03-CE678	2003-11-30	27	188
WUR:CE-VEN03-CE680	2003-11-30	17	170
WUR:CE-VEN03-CE681	2003-11-30	13	180
WUR:CE-VEN03-CE683	2003-11-30	23	50
WUR:CE-VEN03-CE689	2003-11-30	14.5	242.5
WUR:CE-VEN03-CE690	2003-11-30	10	87.5
WUR:CE-VEN03-CE692	2003-11-30	13	17
WUR:CE-VEN03-CE693	2003-11-30	26	98
WUR:CE-VEN03-CE695	2003-11-30	10	189
WUR:CE-VEN03-CE696	2003-11-30	22	64.5
WUR:CE-VEN03-CE698	2003-11-30	8	25
WUR:CE-VEN03-CE699	2003-11-30	19	151.5
WUR:CE-VEN03-CE700	2003-11-30	28	212.5
WUR:CE-VEN03-CE701	2003-11-30	14	100
WUR:CE-VEN03-CE704	2003-11-30	19.5	89
WUR:CE-VEN03-CE705	2003-11-30	8	27.5
WUR:CE-VEN03-CE706	2003-11-30	36.5	76.5
WUR:CE-VEN03-CE707	2003-11-30	11.5	71.5
WUR:CE-VEN03-CE710	2003-11-30	32	168.5
WUR:CE-VEN03-CE713	2003-11-30	10	975
WUR:CE-VEN03-CE715	2003-11-30	3	50
WUR:CE-VEN03-CE719	2003-11-30	9	77
WUR:CE-VEN03-CE721	2003-11-30	17	103
WUR:CE-VEN03-CE729	2003-11-30	9	145
WUR:CE-VEN03-CE731	2003-11-30	16	15
WUR:CE-VEN03-CE734	2003-11-30	10.5	62.5
WUR:CE-VEN03-CE740	2003-11-30	17	117.5
WUR:CE-VEN03-CE742	2003-11-30	13	76
WUR:CE-VEN03-CE744	2003-11-30	36	108
WUR:CE-VEN03-CE746	2003-11-30	39.5	150
WUR:CE-VEN03-CE748	2003-11-30	18	300
WUR:CE-VEN03-CE750	2003-11-30	11.5	100
WUR:CE-VEN03-CE754	2003-11-30	9.5	51.5
WUR:CE-VEN03-CE755	2003-11-30	13	300
WUR:CE-VEN03-CE756	2003-11-30	39	177
WUR:CE-VEN03-CE758	2003-11-30	11	35.5
WUR:CE-VEN03-CE759	2003-11-30	15	126
WUR:CE-VEN03-CE760	2003-11-30	25	156
WUR:CE-VEN03-CE761	2003-11-30	3	12
WUR:CE-VEN03-CE762	2003-11-30	15	128
WUR:CE-VEN03-CE763	2003-11-30	19	55.5
WUR:CE-VEN03-CE765	2003-11-30	21	56
WUR:CE-VEN03-CE766	2003-11-30	7	67
WUR:CE-VEN03-CE776	2003-11-30	11	50
WUR:CE-VEN03-CE788	2003-11-30	7	48.5
