Observation unit ID	Date	DoE	NumMainStems	PlantHeight	TubSizeN_12-20	TubSizeN_21-30	TubSizeN_31-40	TubSizeN_41-50	TubSizeN_51-60	TubSizeN_61-70	TubSizeW_12-20	TubSizeW_21-30	TubSizeW_31-40	TubSizeW_41-50	TubSizeW_51-60	TubSizeW_61-70	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-FIN04-1-1-A	2004-06-30	16	3	7														
WUR:CE-FIN04-1-1-B	2004-06-30	19	4	9														
WUR:CE-FIN04-1-1-C	2004-06-30	19	2	6														
WUR:CE-FIN04-1-2-A	2004-06-30	18	3	9.5														
WUR:CE-FIN04-1-2-B	2004-06-30	18	3	11														
WUR:CE-FIN04-1-2-C	2004-06-30	17	5	12														
WUR:CE-FIN04-1-3-A	2004-06-30	14	4	8.5														
WUR:CE-FIN04-1-3-B	2004-06-30	15	4	6.5														
WUR:CE-FIN04-1-3-C	2004-06-30	15	4	6														
WUR:CE-FIN04-1-4-A	2004-06-30	27	1	1														
WUR:CE-FIN04-1-4-B	2004-06-30	18	2	7.5														
WUR:CE-FIN04-1-4-C	2004-06-30	17	6	9.5														
WUR:CE-FIN04-1-5-A	2004-06-30	15	2	9.5														
WUR:CE-FIN04-1-5-B	2004-06-30	15	2	11														
WUR:CE-FIN04-1-5-C	2004-06-30	16	2	12														
WUR:CE-FIN04-1-6-A	2004-06-30	17	1	10														
WUR:CE-FIN04-1-6-B	2004-06-30	16	2	10														
WUR:CE-FIN04-1-6-C	2004-06-30	17	1	12.5														
WUR:CE-FIN04-1-7-A	2004-06-30	14	6	12														
WUR:CE-FIN04-1-7-B	2004-06-30	14	3	8.5														
WUR:CE-FIN04-1-7-C	2004-06-30	14	2	11														
WUR:CE-FIN04-1-8-A	2004-06-30	17	2	9														
WUR:CE-FIN04-1-8-B	2004-06-30	17	1	10														
WUR:CE-FIN04-1-8-C	2004-06-30	17	2	8.5														
WUR:CE-FIN04-1-9-A	2004-06-30	15	4	7														
WUR:CE-FIN04-1-9-B	2004-06-30	15	4	7														
WUR:CE-FIN04-1-9-C	2004-06-30	21	3	6														
WUR:CE-FIN04-1-10-A	2004-06-30	18	4	10.5														
WUR:CE-FIN04-1-10-B	2004-06-30	17	4	11.5														
WUR:CE-FIN04-1-10-C	2004-06-30	17	1	10														
WUR:CE-FIN04-1-11-A	2004-06-30	17	1	6														
WUR:CE-FIN04-1-11-B	2004-06-30	18	1	7														
WUR:CE-FIN04-1-11-C	2004-06-30	17	5	10														
WUR:CE-FIN04-1-12-A	2004-06-30	17	4	14.5														
WUR:CE-FIN04-1-12-B	2004-06-30	16	2	12														
WUR:CE-FIN04-1-12-C	2004-06-30	16	2	11														
WUR:CE-FIN04-1-13-A	2004-06-30	16	2	14														
WUR:CE-FIN04-1-13-B	2004-06-30	16	2	10.5														
WUR:CE-FIN04-1-13-C	2004-06-30	16	1	11.5														
WUR:CE-FIN04-1-14-A	2004-06-30	24	7	3.5														
WUR:CE-FIN04-1-14-B	2004-06-30	22	4	5														
WUR:CE-FIN04-1-14-C	2004-06-30	24	3	5														
WUR:CE-FIN04-1-15-A	2004-06-30	16	5	15														
WUR:CE-FIN04-1-15-B	2004-06-30	16	3	12														
WUR:CE-FIN04-1-15-C	2004-06-30	16	4	11.5														
WUR:CE-FIN04-1-16-A	2004-06-30	20	4	5														
WUR:CE-FIN04-1-16-B	2004-06-30	18	2	5.5														
WUR:CE-FIN04-1-16-C	2004-06-30	19	1	5														
WUR:CE-FIN04-1-17-A	2004-06-30	17	2	6														
WUR:CE-FIN04-1-17-B	2004-06-30	17	2	7														
WUR:CE-FIN04-1-17-C	2004-06-30	18	4	7														
WUR:CE-FIN04-1-18-A	2004-06-30	19	3	8														
WUR:CE-FIN04-1-18-B	2004-06-30	19	3	9														
WUR:CE-FIN04-1-18-C	2004-06-30	18	3	9														
WUR:CE-FIN04-1-19-A	2004-06-30																	
WUR:CE-FIN04-1-19-B	2004-06-30	20	1	5														
WUR:CE-FIN04-1-19-C	2004-06-30	18	4	3.5														
WUR:CE-FIN04-1-20-A	2004-06-30	21	3	6														
WUR:CE-FIN04-1-20-B	2004-06-30	17	1	9														
WUR:CE-FIN04-1-20-C	2004-06-30	22	1	5.5														
WUR:CE-FIN04-1-21-A	2004-06-30	16	5	8														
WUR:CE-FIN04-1-21-B	2004-06-30	16	6	7.5														
WUR:CE-FIN04-1-21-C	2004-06-30	16	5	11														
WUR:CE-FIN04-1-22-A	2004-06-30	20	5	6														
WUR:CE-FIN04-1-22-B	2004-06-30	17	3	7														
WUR:CE-FIN04-1-22-C	2004-06-30	19	3	7														
WUR:CE-FIN04-1-23-A	2004-06-30	17	2	10														
WUR:CE-FIN04-1-23-B	2004-06-30	18	6	8.5														
WUR:CE-FIN04-1-23-C	2004-06-30	20	3	11														
WUR:CE-FIN04-1-24-A	2004-06-30																	
WUR:CE-FIN04-1-24-B	2004-06-30	18	2	6.5														
WUR:CE-FIN04-1-24-C	2004-06-30	19	3	6.5														
WUR:CE-FIN04-1-25-A	2004-06-30	17	3	5														
WUR:CE-FIN04-1-25-B	2004-06-30	18	3	6.5														
WUR:CE-FIN04-1-25-C	2004-06-30	15	2	7														
WUR:CE-FIN04-1-26-A	2004-06-30	18	2	7														
WUR:CE-FIN04-1-26-B	2004-06-30	17	4	11														
WUR:CE-FIN04-1-26-C	2004-06-30	21	2	6														
WUR:CE-FIN04-1-27-A	2004-06-30	22	3	3.5														
WUR:CE-FIN04-1-27-B	2004-06-30	28	3	0.5														
WUR:CE-FIN04-1-27-C	2004-06-30																	
WUR:CE-FIN04-1-28-A	2004-06-30	18	4	6.5														
WUR:CE-FIN04-1-28-B	2004-06-30	18	5	7.5														
WUR:CE-FIN04-1-28-C	2004-06-30	20	1	2.5														
WUR:CE-FIN04-1-29-A	2004-06-30	22	5	5.5														
WUR:CE-FIN04-1-29-B	2004-06-30	22	3	6														
WUR:CE-FIN04-1-29-C	2004-06-30	21	6	5														
WUR:CE-FIN04-1-30-A	2004-06-30	21	5	5														
WUR:CE-FIN04-1-30-B	2004-06-30	18	4	6														
WUR:CE-FIN04-1-30-C	2004-06-30	18	6	6														
WUR:CE-FIN04-1-31-A	2004-06-30	16	2	7.5														
WUR:CE-FIN04-1-31-B	2004-06-30	15	3	12.5														
WUR:CE-FIN04-1-31-C	2004-06-30	17	4	11														
WUR:CE-FIN04-1-32-A	2004-06-30	16	4	8.5														
WUR:CE-FIN04-1-32-B	2004-06-30	16	3	9														
WUR:CE-FIN04-1-32-C	2004-06-30	16	2	10.5														
WUR:CE-FIN04-1-33-A	2004-06-30	16	3	8														
WUR:CE-FIN04-1-33-B	2004-06-30	16	4	12.5														
WUR:CE-FIN04-1-33-C	2004-06-30	14	4	11														
WUR:CE-FIN04-1-34-A	2004-06-30	16	4	6.5														
WUR:CE-FIN04-1-34-B	2004-06-30	15	2	9														
WUR:CE-FIN04-1-34-C	2004-06-30	15	7	10														
WUR:CE-FIN04-1-35-A	2004-06-30	15	2	9														
WUR:CE-FIN04-1-35-B	2004-06-30	15	5	9.5														
WUR:CE-FIN04-1-35-C	2004-06-30	15	4	11.5														
WUR:CE-FIN04-1-36-A	2004-06-30	15	2	7.5														
WUR:CE-FIN04-1-36-B	2004-06-30	15	4	6														
WUR:CE-FIN04-1-36-C	2004-06-30	14	2	8														
WUR:CE-FIN04-1-37-A	2004-06-30	16	2	8.5														
WUR:CE-FIN04-1-37-B	2004-06-30	14	2	9.5														
WUR:CE-FIN04-1-37-C	2004-06-30	14	2	8.5														
WUR:CE-FIN04-1-38-A	2004-06-30	15	4	10														
WUR:CE-FIN04-1-38-B	2004-06-30	15	3	9.5														
WUR:CE-FIN04-1-38-C	2004-06-30	15	3	8														
WUR:CE-FIN04-1-39-A	2004-06-30	14	1	9														
WUR:CE-FIN04-1-39-B	2004-06-30	14	2	8.5														
WUR:CE-FIN04-1-39-C	2004-06-30	14	3	12														
WUR:CE-FIN04-1-40-A	2004-06-30	14	3	7.5														
WUR:CE-FIN04-1-40-B	2004-06-30	22	3	5.5														
WUR:CE-FIN04-1-40-C	2004-06-30	17	3	6.5														
WUR:CE-FIN04-1-41-A	2004-06-30	14	4	11														
WUR:CE-FIN04-1-41-B	2004-06-30	15	3	9														
WUR:CE-FIN04-1-41-C	2004-06-30	15	3	5														
WUR:CE-FIN04-1-42-A	2004-06-30	15	2	11														
WUR:CE-FIN04-1-42-B	2004-06-30	15	3	8.5														
WUR:CE-FIN04-1-42-C	2004-06-30	15	2	8														
WUR:CE-FIN04-1-43-A	2004-06-30																	
WUR:CE-FIN04-1-43-B	2004-06-30	18	4	10.5														
WUR:CE-FIN04-1-43-C	2004-06-30	18	5	10														
WUR:CE-FIN04-1-44-A	2004-06-30	15	5	8.5														
WUR:CE-FIN04-1-44-B	2004-06-30	15	2	9														
WUR:CE-FIN04-1-44-C	2004-06-30	17	2	8														
WUR:CE-FIN04-1-45-A	2004-06-30	22	2	7														
WUR:CE-FIN04-1-45-B	2004-06-30	21	1	6														
WUR:CE-FIN04-1-45-C	2004-06-30	23	1	4														
WUR:CE-FIN04-1-46-A	2004-06-30	18	2	10														
WUR:CE-FIN04-1-46-B	2004-06-30	18	3	7														
WUR:CE-FIN04-1-46-C	2004-06-30	18	2	10														
WUR:CE-FIN04-1-47-A	2004-06-30	21	2	4														
WUR:CE-FIN04-1-47-B	2004-06-30	14	5	17														
WUR:CE-FIN04-1-47-C	2004-06-30	16	2	9														
WUR:CE-FIN04-1-48-A	2004-06-30	17	5	9														
WUR:CE-FIN04-1-48-B	2004-06-30	20	4*	9														
WUR:CE-FIN04-1-48-C	2004-06-30	15	6	11														
WUR:CE-FIN04-1-49-A	2004-06-30	17	8															
WUR:CE-FIN04-1-49-B	2004-06-30	28	1															
WUR:CE-FIN04-1-49-C	2004-06-30	15	2	7														
WUR:CE-FIN04-1-50-A	2004-06-30	15	1	9.5														
WUR:CE-FIN04-1-50-B	2004-06-30	15	3	10														
WUR:CE-FIN04-1-50-C	2004-06-30	15	4	8														
WUR:CE-FIN04-1-51-A	2004-06-30	23	5	6														
WUR:CE-FIN04-1-51-B	2004-06-30	20	2	7.5														
WUR:CE-FIN04-1-51-C	2004-06-30	18	3	7.5														
WUR:CE-FIN04-1-52-A	2004-06-30																	
WUR:CE-FIN04-1-52-B	2004-06-30	20	3	5														
WUR:CE-FIN04-1-52-C	2004-06-30	15	5	7														
WUR:CE-FIN04-1-53-A	2004-06-30	14	6	9														
WUR:CE-FIN04-1-53-B	2004-06-30	16	4	8.5														
WUR:CE-FIN04-1-53-C	2004-06-30	14	4	8.5														
WUR:CE-FIN04-1-54-A	2004-06-30	17	4	11														
WUR:CE-FIN04-1-54-B	2004-06-30	15	2	9														
WUR:CE-FIN04-1-54-C	2004-06-30	17	2	10														
WUR:CE-FIN04-1-55-A	2004-06-30	16	6	16														
WUR:CE-FIN04-1-55-B	2004-06-30	18	4	10.5														
WUR:CE-FIN04-1-55-C	2004-06-30	14	4	11														
WUR:CE-FIN04-1-56-A	2004-06-30	16	2	8														
WUR:CE-FIN04-1-56-B	2004-06-30	18	3	10.5														
WUR:CE-FIN04-1-56-C	2004-06-30	16	1	8														
WUR:CE-FIN04-1-57-A	2004-06-30	18	3	8														
WUR:CE-FIN04-1-57-B	2004-06-30	18	3	7.5														
WUR:CE-FIN04-1-57-C	2004-06-30	19	2	7														
WUR:CE-FIN04-1-58-A	2004-06-30	17	1	11														
WUR:CE-FIN04-1-58-B	2004-06-30	17	2	11														
WUR:CE-FIN04-1-58-C	2004-06-30	16	2	11														
WUR:CE-FIN04-1-59-A	2004-06-30	16	4	9.5														
WUR:CE-FIN04-1-59-B	2004-06-30	15	4	10														
WUR:CE-FIN04-1-59-C	2004-06-30	15	2	11														
WUR:CE-FIN04-1-60-A	2004-06-30	19	2	9														
WUR:CE-FIN04-1-60-B	2004-06-30	16	1	8														
WUR:CE-FIN04-1-60-C	2004-06-30	17	5	9														
WUR:CE-FIN04-1-61-A	2004-06-30	16	2	9														
WUR:CE-FIN04-1-61-B	2004-06-30	16	2	9														
WUR:CE-FIN04-1-61-C	2004-06-30	16	3	7														
WUR:CE-FIN04-1-62-A	2004-06-30	18	4	11														
WUR:CE-FIN04-1-62-B	2004-06-30	18	2	7														
WUR:CE-FIN04-1-62-C	2004-06-30	21	4	8														
WUR:CE-FIN04-1-63-A	2004-06-30	18	2	7														
WUR:CE-FIN04-1-63-B	2004-06-30	16	1	7														
WUR:CE-FIN04-1-63-C	2004-06-30	18	2	7														
WUR:CE-FIN04-1-64-A	2004-06-30	16	3	10														
WUR:CE-FIN04-1-64-B	2004-06-30	16	2	8														
WUR:CE-FIN04-1-64-C	2004-06-30	16	6	7.5														
WUR:CE-FIN04-1-65-A	2004-06-30	17	4	8														
WUR:CE-FIN04-1-65-B	2004-06-30	16	3	8.5														
WUR:CE-FIN04-1-65-C	2004-06-30	17	4	7														
WUR:CE-FIN04-1-66-A	2004-06-30	14	3	10.5														
WUR:CE-FIN04-1-66-B	2004-06-30	14	1	12														
WUR:CE-FIN04-1-66-C	2004-06-30	14	3	11														
WUR:CE-FIN04-1-67-A	2004-06-30	14	4	12														
WUR:CE-FIN04-1-67-B	2004-06-30	14	4	12														
WUR:CE-FIN04-1-67-C	2004-06-30	14	5	14														
WUR:CE-FIN04-1-68-A	2004-06-30	17	2	8														
WUR:CE-FIN04-1-68-B	2004-06-30	18	6	9														
WUR:CE-FIN04-1-68-C	2004-06-30	18	1	4														
WUR:CE-FIN04-1-69-A	2004-06-30	14	3	11.5														
WUR:CE-FIN04-1-69-B	2004-06-30	14	6	6														
WUR:CE-FIN04-1-69-C	2004-06-30	14	2	7														
WUR:CE-FIN04-1-70-A	2004-06-30	14	3	10														
WUR:CE-FIN04-1-70-B	2004-06-30	14	6	11														
WUR:CE-FIN04-1-70-C	2004-06-30	14	3	11														
WUR:CE-FIN04-1-71-A	2004-06-30	21	4	7														
WUR:CE-FIN04-1-71-B	2004-06-30	14	2	11.5														
WUR:CE-FIN04-1-71-C	2004-06-30	14	3	8														
WUR:CE-FIN04-1-72-A	2004-06-30	18	2	8														
WUR:CE-FIN04-1-72-B	2004-06-30	17	1	9														
WUR:CE-FIN04-1-72-C	2004-06-30	23	2	5.5														
WUR:CE-FIN04-1-73-A	2004-06-30																	
WUR:CE-FIN04-1-73-B	2004-06-30	16	4	10.5														
WUR:CE-FIN04-1-73-C	2004-06-30	17	2	13														
WUR:CE-FIN04-1-74-A	2004-06-30	21	2	5														
WUR:CE-FIN04-1-74-B	2004-06-30																	
WUR:CE-FIN04-1-74-C	2004-06-30	29	1	2														
WUR:CE-FIN04-1-75-A	2004-06-30	17	2	5.5														
WUR:CE-FIN04-1-75-B	2004-06-30	17	2	6.5														
WUR:CE-FIN04-1-75-C	2004-06-30	19	3	5														
WUR:CE-FIN04-1-76-A	2004-06-30	20	2	7														
WUR:CE-FIN04-1-76-B	2004-06-30	23	3	6.5														
WUR:CE-FIN04-1-76-C	2004-06-30	17	6	8.5														
