Observation unit ID	Date	NumMainStems	TubN_total_per_plant	TubW_total_per_plant	DoE	PlantHeight
WUR:CE-FIN05-I-1-A	2005-06-28				32	6
WUR:CE-FIN05-I-1-B	2005-06-28				27	8
WUR:CE-FIN05-I-1-C	2005-06-28				35	4
WUR:CE-FIN05-I-2-A	2005-06-28				25	7
WUR:CE-FIN05-I-2-B	2005-06-28					1
WUR:CE-FIN05-I-2-C	2005-06-28				26	8
WUR:CE-FIN05-I-3-A	2005-06-28				28	4
WUR:CE-FIN05-I-3-B	2005-06-28					
WUR:CE-FIN05-I-3-C	2005-06-28				27	6
WUR:CE-FIN05-I-4-A	2005-06-28				24	11
WUR:CE-FIN05-I-4-B	2005-06-28				24	14
WUR:CE-FIN05-I-4-C	2005-06-28				26	11
WUR:CE-FIN05-I-5-A	2005-06-28				26	10
WUR:CE-FIN05-I-5-B	2005-06-28				26	16
WUR:CE-FIN05-I-5-C	2005-06-28				30	7
WUR:CE-FIN05-I-6-A	2005-06-28				26	12
WUR:CE-FIN05-I-6-B	2005-06-28				33	5
WUR:CE-FIN05-I-6-C	2005-06-28				34	3
WUR:CE-FIN05-I-7-A	2005-06-28				26	8
WUR:CE-FIN05-I-7-B	2005-06-28				26	8
WUR:CE-FIN05-I-7-C	2005-06-28				29	5
WUR:CE-FIN05-I-8-A	2005-06-28				28	10
WUR:CE-FIN05-I-8-B	2005-06-28				26	14
WUR:CE-FIN05-I-8-C	2005-06-28				26	15
WUR:CE-FIN05-I-9-A	2005-06-28		2		32	1
WUR:CE-FIN05-I-9-B	2005-06-28				28	9
WUR:CE-FIN05-I-9-C	2005-06-28				25	12
WUR:CE-FIN05-I-10-A	2005-06-28				26	11
WUR:CE-FIN05-I-10-B	2005-06-28				25	10
WUR:CE-FIN05-I-10-C	2005-06-28				28	7
WUR:CE-FIN05-I-11-A	2005-06-28				27	9
WUR:CE-FIN05-I-11-B	2005-06-28				33	2
WUR:CE-FIN05-I-11-C	2005-06-28				29	6
WUR:CE-FIN05-I-12-A	2005-06-28					
