Observation unit ID	Date	TubN_LT20	TubW_LT20	TubN_GE20	TubW_GE20	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-ETH10-1-1-1	2010-12-01	10	140	10	410	20	550
WUR:CE-ETH10-1-1-2	2010-12-01	2	46	3	145	5	191
WUR:CE-ETH10-1-1-3	2010-12-01	5	75	9	460	14	535
WUR:CE-ETH10-1-1-4	2010-12-01	3	65	4	185	7	250
WUR:CE-ETH10-1-2-1	2010-12-01	5	86	6	255	11	341
WUR:CE-ETH10-1-2-2	2010-12-01	7	80	16	705	23	785
WUR:CE-ETH10-1-2-3	2010-12-01	10	143	9	340	19	483
WUR:CE-ETH10-1-2-4	2010-12-01	4	85	4	280	8	365
WUR:CE-ETH10-1-3-1	2010-12-01	16	104	9	305	25	409
WUR:CE-ETH10-1-3-2	2010-12-01	11	110	3	95	14	205
WUR:CE-ETH10-1-3-3	2010-12-01	8	90	10	400	18	490
WUR:CE-ETH10-1-3-4	2010-12-01	19	225	7	270	26	495
WUR:CE-ETH10-1-4-1	2010-12-01	14	146	12	425	26	571
WUR:CE-ETH10-1-4-2	2010-12-01	15	110	12	526	27	636
WUR:CE-ETH10-1-4-3	2010-12-01	9	105	15	505	24	610
WUR:CE-ETH10-1-4-4	2010-12-01	6	85	10	420	16	505
WUR:CE-ETH10-1-5-1	2010-12-01	2	15	5	175	7	190
WUR:CE-ETH10-1-5-2	2010-12-01	7	95	5	260	12	355
WUR:CE-ETH10-1-5-3	2010-12-01	6	95	5	155	11	250
WUR:CE-ETH10-1-5-4	2010-12-01	12	130	4	105	16	235
WUR:CE-ETH10-1-6-1	2010-12-01	2	25	11	560	13	585
WUR:CE-ETH10-1-6-2	2010-12-01			11	555	11	555
WUR:CE-ETH10-1-6-3	2010-12-01			3	140	3	140
WUR:CE-ETH10-1-6-4	2010-12-01	1	20	3	110	4	130
WUR:CE-ETH10-1-7-1	2010-12-01	22	110	7	185	29	295
WUR:CE-ETH10-1-7-2	2010-12-01	48	190	19	560	67	750
WUR:CE-ETH10-1-7-3	2010-12-01	21	115	16	415	37	530
WUR:CE-ETH10-1-7-4	2010-12-01	27	180	15	450	42	630
WUR:CE-ETH10-1-8-1	2010-12-01	1	10	12	520	13	530
WUR:CE-ETH10-1-8-2	2010-12-01	5	85	7	395	12	480
WUR:CE-ETH10-1-8-3	2010-12-01	5	35	19	685	24	720
WUR:CE-ETH10-1-8-4	2010-12-01	2	15	5	170	7	185
WUR:CE-ETH10-1-9-1	2010-12-01	2	15	20	800	22	815
WUR:CE-ETH10-1-9-2	2010-12-01	3	55	6	375	9	430
WUR:CE-ETH10-1-9-3	2010-12-01			9	640	9	640
WUR:CE-ETH10-1-9-4	2010-12-01	2	20	8	450	10	470
WUR:CE-ETH10-1-10-1	2010-12-01			6	300	6	300
WUR:CE-ETH10-1-10-2	2010-12-01	11	105	14	545	25	650
WUR:CE-ETH10-1-10-3	2010-12-01					0	0
WUR:CE-ETH10-1-10-4	2010-12-01	2	25	9	345	11	370
WUR:CE-ETH10-1-11-1	2010-12-01	1	6	6	160	7	166
WUR:CE-ETH10-1-11-2	2010-12-01	2	15	6	160	8	175
WUR:CE-ETH10-1-11-3	2010-12-01	4	15	6	140	10	155
WUR:CE-ETH10-1-11-4	2010-12-01			7	195	7	195
WUR:CE-ETH10-1-12-1	2010-12-01	1	5	5	185	6	190
WUR:CE-ETH10-1-12-2	2010-12-01	2	5	12	395	14	400
WUR:CE-ETH10-1-12-3	2010-12-01	1	2	9	440	10	442
WUR:CE-ETH10-1-12-4	2010-12-01	2	5	7	400	9	405
