Date	Sunhours
1999-05-12	15.54
1999-05-13	15.59
1999-05-14	15.64
1999-05-15	15.69
1999-05-16	15.75
1999-05-17	15.79
1999-05-18	15.84
1999-05-19	15.89
1999-05-20	15.94
1999-05-21	15.98
1999-05-22	16.03
1999-05-23	16.07
1999-05-24	16.11
1999-05-25	16.15
1999-05-26	16.19
1999-05-27	16.23
1999-05-28	16.27
1999-05-29	16.31
1999-05-30	16.34
1999-05-31	16.37
1999-06-01	16.41
1999-06-02	16.44
1999-06-03	16.47
1999-06-04	16.50
1999-06-05	16.52
1999-06-06	16.55
1999-06-07	16.57
1999-06-08	16.59
1999-06-09	16.61
1999-06-10	16.63
1999-06-11	16.65
1999-06-12	16.66
1999-06-13	16.68
1999-06-14	16.69
1999-06-15	16.70
1999-06-16	16.71
1999-06-17	16.72
1999-06-18	16.72
1999-06-19	16.72
1999-06-20	16.73
1999-06-21	16.73
1999-06-22	16.73
1999-06-23	16.72
1999-06-24	16.72
1999-06-25	16.71
1999-06-26	16.70
1999-06-27	16.69
1999-06-28	16.68
1999-06-29	16.67
1999-06-30	16.65
1999-07-01	16.63
1999-07-02	16.62
1999-07-03	16.60
1999-07-04	16.57
1999-07-05	16.55
1999-07-06	16.53
1999-07-07	16.50
1999-07-08	16.47
1999-07-09	16.44
1999-07-10	16.41
1999-07-11	16.38
1999-07-12	16.35
1999-07-13	16.31
1999-07-14	16.28
1999-07-15	16.24
1999-07-16	16.20
1999-07-17	16.16
1999-07-18	16.12
1999-07-19	16.08
1999-07-20	16.04
1999-07-21	15.99
1999-07-22	15.95
1999-07-23	15.90
1999-07-24	15.86
1999-07-25	15.81
1999-07-26	15.76
1999-07-27	15.71
1999-07-28	15.66
1999-07-29	15.61
1999-07-30	15.56
1999-07-31	15.51
1999-08-01	15.45
1999-08-02	15.40
1999-08-03	15.34
1999-08-04	15.29
1999-08-05	15.23
1999-08-06	15.18
1999-08-07	15.12
1999-08-08	15.06
1999-08-09	15.00
1999-08-10	14.95
1999-08-11	14.89
1999-08-12	14.83
1999-08-13	14.77
1999-08-14	14.71
1999-08-15	14.65
1999-08-16	14.59
1999-08-17	14.52
1999-08-18	14.46
1999-08-19	14.40
1999-08-20	14.34
1999-08-21	14.28
1999-08-22	14.21
1999-08-23	14.15
1999-08-24	14.09
1999-08-25	14.02
1999-08-26	13.96
1999-08-27	13.90
1999-08-28	13.83
1999-08-29	13.77
1999-08-30	13.70
1999-08-31	13.64
1999-09-01	13.57
1999-09-02	13.51
1999-09-03	13.44
1999-09-04	13.38
1999-09-05	13.31
1999-09-06	13.25
1999-09-07	13.18
1999-09-08	13.12
1999-09-09	13.05
1999-09-10	12.99
1999-09-11	12.92
1999-09-12	12.85
1999-09-13	12.79
1999-09-14	12.72
1999-09-15	12.66
1999-09-16	12.59
1999-09-17	12.52
1999-09-18	12.46
1999-09-19	12.39
1999-09-20	12.33
1999-09-21	12.26
1999-09-22	12.19
1999-09-23	12.13
1999-09-24	12.06
1999-09-25	11.99
1999-09-26	11.93
1999-09-27	11.86
1999-09-28	11.80
1999-09-29	11.73
1999-09-30	11.66
1999-10-01	11.60
1999-10-02	11.53
1999-10-03	11.46
1999-10-04	11.40
1999-10-05	11.33
1999-10-06	11.27
1999-10-07	11.20
1999-10-08	11.13
1999-10-09	11.07
1999-10-10	11.00
1999-10-11	10.94
1999-10-12	10.87
1999-10-13	10.81
1999-10-14	10.74
1999-10-15	10.68
1999-10-16	10.61
1999-10-17	10.55
1999-10-18	10.48
1999-10-19	10.42
1999-10-20	10.35
1999-10-21	10.29
1999-10-22	10.22
1999-10-23	10.16
1999-10-24	10.10
1999-10-25	10.03
1999-10-26	9.97
1999-10-27	9.91
1999-10-28	9.85
1999-10-29	9.79
1999-10-30	9.72
1999-10-31	9.66
1999-11-01	9.60
1999-11-02	9.54
1999-11-03	9.48
1999-11-04	9.42
1999-11-05	9.36
1999-11-06	9.30
1999-11-07	9.25
1999-11-08	9.19
1999-11-09	9.13
1999-11-10	9.08
1999-11-11	9.02
1999-11-12	8.97
1999-11-13	8.91
