Date	Sunhours
2003-06-23	12.75
2003-06-24	12.75
2003-06-25	12.75
2003-06-26	12.75
2003-06-27	12.75
2003-06-28	12.75
2003-06-29	12.75
2003-06-30	12.74
2003-07-01	12.74
2003-07-02	12.74
2003-07-03	12.74
2003-07-04	12.73
2003-07-05	12.73
2003-07-06	12.73
2003-07-07	12.72
2003-07-08	12.72
2003-07-09	12.72
2003-07-10	12.71
2003-07-11	12.71
2003-07-12	12.71
2003-07-13	12.70
2003-07-14	12.70
2003-07-15	12.69
2003-07-16	12.69
2003-07-17	12.68
2003-07-18	12.68
2003-07-19	12.67
2003-07-20	12.67
2003-07-21	12.66
2003-07-22	12.65
2003-07-23	12.65
2003-07-24	12.64
2003-07-25	12.64
2003-07-26	12.63
2003-07-27	12.62
2003-07-28	12.62
2003-07-29	12.61
2003-07-30	12.60
2003-07-31	12.59
2003-08-01	12.59
2003-08-02	12.58
2003-08-03	12.57
2003-08-04	12.57
2003-08-05	12.56
2003-08-06	12.55
2003-08-07	12.54
2003-08-08	12.53
2003-08-09	12.53
2003-08-10	12.52
2003-08-11	12.51
2003-08-12	12.50
2003-08-13	12.49
2003-08-14	12.48
2003-08-15	12.48
2003-08-16	12.47
2003-08-17	12.46
2003-08-18	12.45
2003-08-19	12.44
2003-08-20	12.43
2003-08-21	12.42
2003-08-22	12.41
2003-08-23	12.40
2003-08-24	12.40
2003-08-25	12.39
2003-08-26	12.38
2003-08-27	12.37
2003-08-28	12.36
2003-08-29	12.35
2003-08-30	12.34
2003-08-31	12.33
2003-09-01	12.32
2003-09-02	12.31
2003-09-03	12.30
2003-09-04	12.29
2003-09-05	12.28
2003-09-06	12.27
2003-09-07	12.26
2003-09-08	12.25
2003-09-09	12.24
2003-09-10	12.23
2003-09-11	12.22
2003-09-12	12.21
2003-09-13	12.20
2003-09-14	12.20
2003-09-15	12.19
2003-09-16	12.18
2003-09-17	12.17
