Date	Temp
2003-06-25	14
2003-06-26	14
2003-06-27	14
2003-06-28	14
2003-06-29	14
2003-06-30	14
2003-07-01	14
2003-07-02	14
2003-07-03	14
2003-07-04	14.625
2003-07-05	14.35
2003-07-06	
2003-07-07	16.45
2003-07-08	15.025
2003-07-09	16.675
2003-07-10	15.775
2003-07-11	14.325
2003-07-12	14.775
2003-07-13	14.25
2003-07-14	16.175
2003-07-15	15.25
2003-07-16	14.25
2003-07-17	14.525
2003-07-18	15.55
2003-07-19	16.275
2003-07-20	16.825
2003-07-21	14.4
2003-07-22	18.425
2003-07-23	17.45
2003-07-24	16.175
2003-07-25	16.825
2003-07-26	16.95
2003-07-27	15.325
2003-07-28	17.05
2003-07-29	17.625
2003-07-30	18.175
2003-07-31	16.5
2003-08-01	15.65
2003-08-02	15.725
2003-08-03	15.7
2003-08-04	15.825
2003-08-05	15.85
2003-08-06	16.6
2003-08-07	15.025
2003-08-08	15.6
2003-08-09	15.625
2003-08-10	21.425
2003-08-11	15.925
2003-08-12	16.325
2003-08-13	16.225
2003-08-14	17.35
2003-08-15	17.7
2003-08-16	15.7
2003-08-17	15.35
2003-08-18	16
2003-08-19	15.575
2003-08-20	15.475
2003-08-21	15.825
2003-08-22	14.075
2003-08-23	14.8
2003-08-24	15.625
2003-08-25	16.45
2003-08-26	16.65
2003-08-27	19.75
2003-08-28	15.05
2003-08-29	15.5
2003-08-30	15.4
2003-08-31	17.125
2003-09-01	16.35
2003-09-02	17.05
2003-09-03	
2003-09-04	15.45
2003-09-05	16.05
2003-09-06	14.525
2003-09-07	15.175
2003-09-08	15.925
2003-09-09	16.35
2003-09-10	16.4
2003-09-11	15.5
2003-09-12	15.875
2003-09-13	15.15
2003-09-14	16.925
2003-09-15	15.275
2003-09-16	15.825
2003-09-17	15.3
