Date	Sunhours
2004-06-01	19.71
2004-06-02	19.79
2004-06-03	19.86
2004-06-04	19.93
2004-06-05	20.00
2004-06-06	20.06
2004-06-07	20.13
2004-06-08	20.18
2004-06-09	20.24
2004-06-10	20.29
2004-06-11	20.34
2004-06-12	20.38
2004-06-13	20.42
2004-06-14	20.45
2004-06-15	20.48
2004-06-16	20.51
2004-06-17	20.53
2004-06-18	20.55
2004-06-19	20.56
2004-06-20	20.56
2004-06-21	20.56
2004-06-22	20.56
2004-06-23	20.55
2004-06-24	20.53
2004-06-25	20.51
2004-06-26	20.49
2004-06-27	20.46
2004-06-28	20.43
2004-06-29	20.39
2004-06-30	20.35
2004-07-01	20.30
2004-07-02	20.25
2004-07-03	20.20
2004-07-04	20.14
2004-07-05	20.08
2004-07-06	20.01
2004-07-07	19.95
2004-07-08	19.88
2004-07-09	19.80
2004-07-10	19.73
2004-07-11	19.65
2004-07-12	19.57
2004-07-13	19.49
2004-07-14	19.41
2004-07-15	19.32
2004-07-16	19.23
2004-07-17	19.14
2004-07-18	19.05
2004-07-19	18.96
2004-07-20	18.87
2004-07-21	18.77
2004-07-22	18.68
2004-07-23	18.58
2004-07-24	18.49
2004-07-25	18.39
2004-07-26	18.29
2004-07-27	18.19
2004-07-28	18.09
2004-07-29	17.99
2004-07-30	17.89
2004-07-31	17.79
2004-08-01	17.69
2004-08-02	17.58
2004-08-03	17.48
2004-08-04	17.38
2004-08-05	17.27
2004-08-06	17.17
2004-08-07	17.07
2004-08-08	16.96
2004-08-09	16.86
2004-08-10	16.75
2004-08-11	16.65
2004-08-12	16.55
2004-08-13	16.44
2004-08-14	16.34
2004-08-15	16.23
2004-08-16	16.13
2004-08-17	16.02
2004-08-18	15.92
2004-08-19	15.81
2004-08-20	15.71
2004-08-21	15.60
2004-08-22	15.50
2004-08-23	15.39
2004-08-24	15.29
2004-08-25	15.18
2004-08-26	15.08
2004-08-27	14.97
2004-08-28	14.87
2004-08-29	14.76
2004-08-30	14.66
2004-08-31	14.56
2004-09-01	14.45
2004-09-02	14.35
2004-09-03	14.24
2004-09-04	14.14
2004-09-05	14.04
2004-09-06	13.93
2004-09-07	13.83
2004-09-08	13.72
2004-09-09	13.62
2004-09-10	13.52
2004-09-11	13.41
2004-09-12	13.31
2004-09-13	13.20
2004-09-14	13.10
2004-09-15	13.00
2004-09-16	12.89
2004-09-17	12.79
2004-09-18	12.69
2004-09-19	12.58
2004-09-20	12.48
2004-09-21	12.37
2004-09-22	12.27
2004-09-23	12.17
2004-09-24	12.06
2004-09-25	11.96
2004-09-26	11.86
2004-09-27	11.75
2004-09-28	11.65
2004-09-29	11.55
2004-09-30	11.44
2004-10-01	11.34
2004-10-02	11.24
2004-10-03	11.13
2004-10-04	11.03
2004-10-05	10.92
2004-10-06	10.82
2004-10-07	10.72
2004-10-08	10.61
2004-10-09	10.51
2004-10-10	10.41
2004-10-11	10.30
2004-10-12	10.20
2004-10-13	10.09
2004-10-14	9.99
2004-10-15	9.88
2004-10-16	9.78
2004-10-17	9.68
2004-10-18	9.57
2004-10-19	9.47
2004-10-20	9.36
2004-10-21	9.26
2004-10-22	9.16
2004-10-23	9.05
2004-10-24	8.95
2004-10-25	8.84
2004-10-26	8.74
2004-10-27	8.64
2004-10-28	8.53
2004-10-29	8.43
2004-10-30	8.33
2004-10-31	8.22
