Date	Temp
2005-05-16	4.8
2005-05-17	9
2005-05-18	7
2005-05-19	4.9
2005-05-20	8.5
2005-05-21	11.8
2005-05-22	13.9
2005-05-23	12.6
2005-05-24	14.4
2005-05-25	12.7
2005-05-26	13.4
2005-05-27	11.5
2005-05-28	7.4
2005-05-29	7.6
2005-05-30	5.7
2005-05-31	8.6
2005-06-01	9
2005-06-02	9.4
2005-06-03	10.1
2005-06-04	13.1
2005-06-05	11.4
2005-06-06	10.6
2005-06-07	8.4
2005-06-08	9.5
2005-06-09	12.9
2005-06-10	15
2005-06-11	16.9
2005-06-12	19.2
2005-06-13	20.5
2005-06-14	17
2005-06-15	10.9
2005-06-16	14.4
2005-06-17	16.8
2005-06-18	16.5
2005-06-19	15.3
2005-06-20	15.8
2005-06-21	16.1
2005-06-22	18
2005-06-23	15.4
2005-06-24	16.3
2005-06-25	12.6
2005-06-26	13.7
2005-06-27	12.4
2005-06-28	11.7
2005-06-29	13.4
2005-06-30	15.2
2005-07-01	15.6
2005-07-02	16.7
2005-07-03	18.3
2005-07-04	18.8
2005-07-05	18.7
2005-07-06	17.7
2005-07-07	19.3
2005-07-08	18.9
2005-07-09	20.1
2005-07-10	20.6
2005-07-11	19.7
2005-07-12	20.2
2005-07-13	17.1
2005-07-14	14.5
2005-07-15	16.2
2005-07-16	18.4
2005-07-17	21.9
2005-07-18	21.4
2005-07-19	
2005-07-20	17.6
2005-07-21	18
2005-07-22	17.3
2005-07-23	18
2005-07-24	15.4
2005-07-25	17.1
2005-07-26	16.8
2005-07-27	18.1
2005-07-28	14.8
2005-07-29	12.3
2005-07-30	12.6
2005-07-31	13.7
2005-08-01	13.7
2005-08-02	14.7
2005-08-03	13.1
2005-08-04	14.1
2005-08-05	15.1
2005-08-06	15.1
2005-08-07	14.7
2005-08-08	19
2005-08-09	20.8
2005-08-10	19.9
2005-08-11	15.1
2005-08-12	15.1
2005-08-13	15.2
2005-08-14	14.9
2005-08-15	14.6
2005-08-16	14.3
2005-08-17	12.1
2005-08-18	14.2
2005-08-19	16.2
2005-08-20	17.2
2005-08-21	13.5
2005-08-22	13.3
2005-08-23	15.5
2005-08-24	17.7
2005-08-25	19.4
2005-08-26	19.7
2005-08-27	14.5
2005-08-28	11.7
2005-08-29	12.8
2005-08-30	13.1
2005-08-31	11.2
2005-09-01	11.4
2005-09-02	14.9
2005-09-03	11.3
2005-09-04	10.4
2005-09-05	10.8
2005-09-06	10.3
2005-09-07	15.1
2005-09-08	13.8
2005-09-09	10.2
2005-09-10	6.8
2005-09-11	7.1
2005-09-12	10.2
2005-09-13	7.3
2005-09-14	10.7
2005-09-15	5.4
2005-09-16	3.6
2005-09-17	3.4
2005-09-18	7.7
2005-09-19	8.1
