Date	Sunhours
2010-07-01	12.64
2010-07-02	12.64
2010-07-03	12.64
2010-07-04	12.64
2010-07-05	12.64
2010-07-06	12.63
2010-07-07	12.63
2010-07-08	12.63
2010-07-09	12.62
2010-07-10	12.62
2010-07-11	12.62
2010-07-12	12.61
2010-07-13	12.61
2010-07-14	12.61
2010-07-15	12.60
2010-07-16	12.60
2010-07-17	12.59
2010-07-18	12.59
2010-07-19	12.58
2010-07-20	12.58
2010-07-21	12.57
2010-07-22	12.57
2010-07-23	12.56
2010-07-24	12.56
2010-07-25	12.55
2010-07-26	12.55
2010-07-27	12.54
2010-07-28	12.54
2010-07-29	12.53
2010-07-30	12.53
2010-07-31	12.52
2010-08-01	12.51
2010-08-02	12.51
2010-08-03	12.50
2010-08-04	12.49
2010-08-05	12.49
2010-08-06	12.48
2010-08-07	12.47
2010-08-08	12.47
2010-08-09	12.46
2010-08-10	12.45
2010-08-11	12.45
2010-08-12	12.44
2010-08-13	12.43
2010-08-14	12.43
2010-08-15	12.42
2010-08-16	12.41
2010-08-17	12.40
2010-08-18	12.40
2010-08-19	12.39
2010-08-20	12.38
2010-08-21	12.37
2010-08-22	12.37
2010-08-23	12.36
2010-08-24	12.35
2010-08-25	12.34
2010-08-26	12.33
2010-08-27	12.33
2010-08-28	12.32
2010-08-29	12.31
2010-08-30	12.30
2010-08-31	12.30
2010-09-01	12.29
2010-09-02	12.28
2010-09-03	12.27
2010-09-04	12.26
2010-09-05	12.25
2010-09-06	12.25
2010-09-07	12.24
2010-09-08	12.23
2010-09-09	12.22
2010-09-10	12.21
2010-09-11	12.21
2010-09-12	12.20
2010-09-13	12.19
2010-09-14	12.18
2010-09-15	12.17
2010-09-16	12.16
2010-09-17	12.16
2010-09-18	12.15
2010-09-19	12.14
2010-09-20	12.13
2010-09-21	12.12
2010-09-22	12.12
2010-09-23	12.11
2010-09-24	12.10
2010-09-25	12.09
2010-09-26	12.08
2010-09-27	12.07
2010-09-28	12.07
2010-09-29	12.06
2010-09-30	12.05
2010-10-01	12.04
2010-10-02	12.03
2010-10-03	12.02
2010-10-04	12.02
2010-10-05	12.01
2010-10-06	12.00
2010-10-07	11.99
2010-10-08	11.98
2010-10-09	11.98
2010-10-10	11.97
2010-10-11	11.96
2010-10-12	11.95
2010-10-13	11.94
2010-10-14	11.94
2010-10-15	11.93
2010-10-16	11.92
2010-10-17	11.91
2010-10-18	11.91
2010-10-19	11.90
2010-10-20	11.89
2010-10-21	11.88
2010-10-22	11.87
2010-10-23	11.87
2010-10-24	11.86
2010-10-25	11.85
2010-10-26	11.84
2010-10-27	11.84
2010-10-28	11.83
2010-10-29	11.82
2010-10-30	11.82
2010-10-31	11.81
2010-11-01	11.80
2010-11-02	11.79
2010-11-03	11.79
2010-11-04	11.78
2010-11-05	11.77
2010-11-06	11.77
2010-11-07	11.76
2010-11-08	11.75
2010-11-09	11.75
2010-11-10	11.74
2010-11-11	11.74
2010-11-12	11.73
2010-11-13	11.72
2010-11-14	11.72
2010-11-15	11.71
